PNG_HEAD,89 50 4E 47 0D 0A 1A 0A
PNG_IHDR,49 48 44 52
PNG_IEND,49 45 4E 44 AE 42 60 82
PNG_PLTE,50 4c 54 45
PNG_IDAT,49 44 41 54
PNG_cHRM,63 48 52 4d
PNG_gAMA,67 41 4d 41
PNG_iCCP,69 43 43 50
PNG_sBIT,73 42 49 54
PNG_sRGB,73 52 47 42
PNG_bKGD,62 4b 47 44
PNG_hIST,68 49 53 54
PNG_tRNS,74 52 4e 53
PNG_pHYs,70 48 59 73
PNG_sPLT,73 50 4c 54
PNG_tIME,74 49 4d 45
PNG_iTXt,69 54 58 74
PNG_tEXt,74 45 58 74
PNG_zTXt,7a 54 58 74
